Frente	Verso
たいてい	<div style="color:#222;font-size:15px;"><span style="background:#b35900;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Advérbio de frequência</span> <b>Geralmente</b><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Escala de frequência:</b><br><span style="font-size:14px;"><div style="margin:5px 0;"> <div style="display:flex;font-size:11px;text-align:center;color:#111;font-weight:bold;"> <div style="flex:1;background:#1b5e20;color:white;padding:4px;border-radius:3px;margin:1px;">100%<br>いつも</div> <div style="flex:1;background:#2e7d32;color:white;padding:4px;border-radius:3px;margin:1px;">80%<br>よく</div> <div style="flex:1;background:#f9a825;padding:4px;border-radius:3px;margin:1px;">60%<br>たいてい</div> <div style="flex:1;background:#ef6c00;color:white;padding:4px;border-radius:3px;margin:1px;">30%<br>時々</div> <div style="flex:1;background:#c62828;color:white;padding:4px;border-radius:3px;margin:1px;">10%<br>あまり</div> <div style="flex:1;background:#b71c1c;color:white;padding:4px;border-radius:3px;margin:1px;">0%<br>全然</div> </div></div></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">たいてい</span><span style="color:#b35900;font-weight:bold;">家</span><span style="color:#6a0080;font-weight:bold;">で</span><span style="color:#990000;font-weight:bold;">食べます</span></b><br><span style="font-size:12px;color:#333;">Geralmente como em casa</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">たいてい</span><span style="color:#b35900;font-weight:bold;">６時</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">起きる</span></b><br><span style="font-size:12px;color:#333;">Geralmente acordo às 6</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> Advérbios de frequência geralmente NÃO usam partícula に. Coloque ANTES do verbo.</div></div>
時々 (ときどき)	<div style="color:#222;font-size:15px;"><span style="background:#b35900;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Advérbio de frequência</span> <b>Às vezes</b><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Escala de frequência:</b><br><span style="font-size:14px;"><div style="margin:5px 0;"> <div style="display:flex;font-size:11px;text-align:center;color:#111;font-weight:bold;"> <div style="flex:1;background:#1b5e20;color:white;padding:4px;border-radius:3px;margin:1px;">100%<br>いつも</div> <div style="flex:1;background:#2e7d32;color:white;padding:4px;border-radius:3px;margin:1px;">80%<br>よく</div> <div style="flex:1;background:#f9a825;padding:4px;border-radius:3px;margin:1px;">60%<br>たいてい</div> <div style="flex:1;background:#ef6c00;color:white;padding:4px;border-radius:3px;margin:1px;">30%<br>時々</div> <div style="flex:1;background:#c62828;color:white;padding:4px;border-radius:3px;margin:1px;">10%<br>あまり</div> <div style="flex:1;background:#b71c1c;color:white;padding:4px;border-radius:3px;margin:1px;">0%<br>全然</div> </div></div></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">時々</span><span style="color:#005a1e;font-weight:bold;">小説</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">読みます</span></b><br><span style="font-size:12px;color:#333;">Às vezes leio romances</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">時々</span><span style="color:#005a1e;font-weight:bold;">雨</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#990000;font-weight:bold;">降る</span></b><br><span style="font-size:12px;color:#333;">Às vezes chove</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> Advérbios de frequência geralmente NÃO usam partícula に. Coloque ANTES do verbo.</div></div>
あまり + negativo	<div style="color:#222;font-size:15px;"><span style="background:#b35900;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Advérbio de frequência</span> <b>Não muito</b><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Escala de frequência:</b><br><span style="font-size:14px;"><div style="margin:5px 0;"> <div style="display:flex;font-size:11px;text-align:center;color:#111;font-weight:bold;"> <div style="flex:1;background:#1b5e20;color:white;padding:4px;border-radius:3px;margin:1px;">100%<br>いつも</div> <div style="flex:1;background:#2e7d32;color:white;padding:4px;border-radius:3px;margin:1px;">80%<br>よく</div> <div style="flex:1;background:#f9a825;padding:4px;border-radius:3px;margin:1px;">60%<br>たいてい</div> <div style="flex:1;background:#ef6c00;color:white;padding:4px;border-radius:3px;margin:1px;">30%<br>時々</div> <div style="flex:1;background:#c62828;color:white;padding:4px;border-radius:3px;margin:1px;">10%<br>あまり</div> <div style="flex:1;background:#b71c1c;color:white;padding:4px;border-radius:3px;margin:1px;">0%<br>全然</div> </div></div></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">あまり</span><span style="color:#005a1e;font-weight:bold;">テレビ</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">見ません</span></b><br><span style="font-size:12px;color:#333;">Não vejo muito TV</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">あまり</span><span style="color:#005a1e;font-weight:bold;">お金</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#990000;font-weight:bold;">ない</span></b><br><span style="font-size:12px;color:#333;">Não tenho muito dinheiro</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> Advérbios de frequência geralmente NÃO usam partícula に. Coloque ANTES do verbo.</div></div>
全然 + negativo (ぜんぜん)	<div style="color:#222;font-size:15px;"><span style="background:#b35900;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Advérbio de frequência</span> <b>De jeito nenhum / Nada</b><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Escala de frequência:</b><br><span style="font-size:14px;"><div style="margin:5px 0;"> <div style="display:flex;font-size:11px;text-align:center;color:#111;font-weight:bold;"> <div style="flex:1;background:#1b5e20;color:white;padding:4px;border-radius:3px;margin:1px;">100%<br>いつも</div> <div style="flex:1;background:#2e7d32;color:white;padding:4px;border-radius:3px;margin:1px;">80%<br>よく</div> <div style="flex:1;background:#f9a825;padding:4px;border-radius:3px;margin:1px;">60%<br>たいてい</div> <div style="flex:1;background:#ef6c00;color:white;padding:4px;border-radius:3px;margin:1px;">30%<br>時々</div> <div style="flex:1;background:#c62828;color:white;padding:4px;border-radius:3px;margin:1px;">10%<br>あまり</div> <div style="flex:1;background:#b71c1c;color:white;padding:4px;border-radius:3px;margin:1px;">0%<br>全然</div> </div></div></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">全然</span><span style="color:#005a1e;font-weight:bold;">お酒</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">飲みません</span></b><br><span style="font-size:12px;color:#333;">Não bebo álcool de jeito nenhum</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">全然</span><span style="color:#990000;font-weight:bold;">わかりません</span></b><br><span style="font-size:12px;color:#333;">Não entendo nada</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> Advérbios de frequência geralmente NÃO usam partícula に. Coloque ANTES do verbo.</div></div>
い形容詞 (い けいようし)	<div style="color:#222;font-size:15px;"><span style="background:#b35900;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Classe de palavra</span> <b>Adjetivos terminados em い</b> — flexionam sozinhos<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Tabela de flexão:</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:12px;color:#111;"><tr style="background:#b35900;color:white;"><th style="padding:4px;">Forma</th><th style="padding:4px;">高い (caro)</th><th style="padding:4px;">Regra</th></tr><tr><td style="padding:4px;border:1px solid #999;">Afirmativa</td><td>高い</td><td>forma base</td></tr><tr><td style="padding:4px;border:1px solid #999;">Negativa</td><td>高<b>くない</b></td><td>い→くない</td></tr><tr><td style="padding:4px;border:1px solid #999;">Passado</td><td>高<b>かった</b></td><td>い→かった</td></tr><tr><td style="padding:4px;border:1px solid #999;">Passado Neg.</td><td>高<b>くなかった</b></td><td>くない→くなかった</td></tr></table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">この本は高い</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">Este livro é caro</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">高くない</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">Não é caro → 高<b>かった</b> = era caro</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> Adjetivos い NÃO usam だ! (*高いだ ❌). Flexionam sozinhos: い→くない(neg), い→かった(passado).</div></div>
な形容詞 (な けいようし)	<div style="color:#222;font-size:15px;"><span style="background:#b35900;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Classe de palavra</span> <b>Adjetivos terminados em な</b> — precisam de です/だ<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Tabela de flexão:</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:12px;color:#111;"><tr style="background:#b35900;color:white;"><th style="padding:4px;">Forma</th><th style="padding:4px;">静か (silencioso)</th><th style="padding:4px;">Regra</th></tr><tr><td style="padding:4px;border:1px solid #999;">Afirmativa</td><td>静か<b>です</b></td><td>+です/だ</td></tr><tr><td style="padding:4px;border:1px solid #999;">Negativa</td><td>静か<b>じゃないです</b></td><td>+じゃない</td></tr><tr><td style="padding:4px;border:1px solid #999;">Passado</td><td>静か<b>でした</b></td><td>+でした</td></tr><tr><td style="padding:4px;border:1px solid #999;">Antes de subst</td><td>静か<b>な</b>部屋</td><td>+な+subst</td></tr></table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">図書館は静か</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">A biblioteca é silenciosa</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">静か</span><span style="color:#b35900;font-weight:bold;">な部屋</span></b><br><span style="font-size:12px;color:#333;">Quarto silencioso (antes de substantivo = な!)</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> Adjetivos な: usam です/だ para flexionar (como substantivos). Antes de substantivo: sempre use な (静か<b>な</b>部屋 ✅).</div></div>
〜が好きです (すき)	<div style="color:#222;font-size:15px;"><span style="background:#6a0080;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Expressão</span> <b>Gostar de...</b> — SEMPRE usa が, nunca を<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Estrutura:</b><br><span style="font-size:14px;"><span style="color:#003d80;font-weight:bold;">私</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#005a1e;font-weight:bold;">猫</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#b35900;font-weight:bold;">好き</span><span style="color:#990000;font-weight:bold;">です</span><br><span style="font-size:11px;color:#555;">EU | TEMA | GATOS | FOCO | GOSTAR | É</span></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">私</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#005a1e;font-weight:bold;">寿司</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#b35900;font-weight:bold;">好き</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">Gosto de sushi</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">音楽</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#b35900;font-weight:bold;">大好き</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">Adoro música (大好き = gostar muito)</span></div><div style="background:#ffebee;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">❌ <b><span style="color:#005a1e;font-weight:bold;">猫</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#b35900;font-weight:bold;">好き</span></b><br><span style="font-size:12px;color:#333;">❌ SEMPRE が com 好き!</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> 好き é adjetivo な em japonês (não é verbo!). Por isso usa が. 大好き = gostar muito. 一番好き = gostar mais.</div></div>
〜が嫌いです (きらい)	<div style="color:#222;font-size:15px;"><span style="background:#6a0080;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Expressão</span> <b>Não gostar / Odiar</b> — também usa が<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Estrutura:</b><br><span style="font-size:14px;"><span style="color:#003d80;font-weight:bold;">私</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#005a1e;font-weight:bold;">虫</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#b35900;font-weight:bold;">嫌い</span><span style="color:#990000;font-weight:bold;">です</span><br><span style="font-size:11px;color:#555;">EU | TEMA | INSETOS | FOCO | ODIAR | É</span></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">私</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#005a1e;font-weight:bold;">納豆</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#b35900;font-weight:bold;">嫌い</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">Não gosto de natto</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">雨</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#b35900;font-weight:bold;">嫌い</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">Odeio chuva</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> 嫌い também é adjetivo な! Usa が (mesma lógica do 好き). 大嫌い = odiar MUITO.</div></div>
〜になる	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Expressão</span> <b>Virar/Tornar-se</b> — com SUBSTANTIVO<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Regra:</b><br><span style="font-size:14px;">SUBSTANTIVO + に + なる<br><span style="color:#003d80;font-weight:bold;">彼</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">医者</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">なった</span> = Ele virou médico</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">娘</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">先生</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">なりました</span></b><br><span style="font-size:12px;color:#333;">A filha virou professora</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">春</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">なった</span></b><br><span style="font-size:12px;color:#333;">Chegou a primavera</span></div><div style="background:#ffebee;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">❌ <b><span style="color:#b35900;font-weight:bold;">医者</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">なる</span></b><br><span style="font-size:12px;color:#333;">❌ Com SUBSTANTIVO é に, não を!</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> になる = com SUBSTANTIVO (医者になる = virar médico). くなる = com ADJETIVO (高くなる = ficar caro).</div></div>
〜くなる	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Expressão</span> <b>Ficar/Tornar-se</b> — com ADJETIVO<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Regra:</b><br><span style="font-size:14px;">ADJETIVO (forma く/に) + なる<br>い形容詞: 高<b>く</b>なる (高い→高く)<br>な形容詞: 静か<b>に</b>なる (静か→静かに)</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">物価</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#b35900;font-weight:bold;">高く</span><span style="color:#990000;font-weight:bold;">なった</span></b><br><span style="font-size:12px;color:#333;">Os preços ficaram caros</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">部屋</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#b35900;font-weight:bold;">静かに</span><span style="color:#990000;font-weight:bold;">なった</span></b><br><span style="font-size:12px;color:#333;">O quarto ficou silencioso</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> い形容詞 → く+なる (高い→高くなる). な形容詞 → に+なる (静か→静かになる). に vs く é a diferença!</div></div>
〜があります	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Existência</span> <b>Existir / Ter</b> — coisas inanimadas, plantas<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Estrutura:</b><br><span style="font-size:14px;">LUGAR に COISA が あります<br><span style="color:#b35900;font-weight:bold;">机の上</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#005a1e;font-weight:bold;">本</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#990000;font-weight:bold;">あります</span><br><span style="font-size:11px;color:#555;">MESA-SOBRE | EM | LIVRO | FOCO | EXISTE</span></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">公園</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#005a1e;font-weight:bold;">ベンチ</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#990000;font-weight:bold;">あります</span></b><br><span style="font-size:12px;color:#333;">Há/tem um banco no parque</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">冷蔵庫</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#005a1e;font-weight:bold;">何</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#990000;font-weight:bold;">あります</span><span style="color:#6a0080;font-weight:bold;">か</span></b><br><span style="font-size:12px;color:#333;">O que tem na geladeira?</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> あります = objetos, plantas, coisas inanimadas. います = pessoas, animais. LUGARに + COISAが + あります.</div></div>
〜がいます	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Existência</span> <b>Existir / Ter</b> — pessoas, animais (seres vivos)<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Estrutura:</b><br><span style="font-size:14px;">LUGAR に SER-VIVO が います<br><span style="color:#b35900;font-weight:bold;">公園</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#005a1e;font-weight:bold;">子供</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#990000;font-weight:bold;">います</span><br><span style="font-size:11px;color:#555;">PARQUE | EM | CRIANÇAS | FOCO | EXISTEM</span></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">部屋</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#005a1e;font-weight:bold;">猫</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#990000;font-weight:bold;">います</span></b><br><span style="font-size:12px;color:#333;">Há/tem um gato no quarto</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">彼</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">家</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">います</span></b><br><span style="font-size:12px;color:#333;">Ele está em casa</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> います = pessoas, animais, seres vivos. あります = objetos, plantas. LUGARに + SERが + います.</div></div>
前 (まえ) ・ 後ろ (うしろ) ・ 中 (なか)	<div style="color:#222;font-size:15px;"><span style="background:#b35900;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Locução de posição</span> <b>Na frente ・ Atrás ・ Dentro</b> — substantivos de localização<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Estrutura:</b><br><span style="font-size:14px;">SUBSTANTIVO + の + POSIÇÃO<br><span style="color:#b35900;font-weight:bold;">駅</span>の<span style="color:#b35900;font-weight:bold;">前</span> = em frente à estação<br><span style="color:#b35900;font-weight:bold;">家</span>の<span style="color:#b35900;font-weight:bold;">後ろ</span> = atrás de casa<br><span style="color:#b35900;font-weight:bold;">箱</span>の<span style="color:#b35900;font-weight:bold;">中</span> = dentro da caixa</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">駅の前</span><span style="color:#6a0080;font-weight:bold;">で</span><span style="color:#990000;font-weight:bold;">会いましょう</span></b><br><span style="font-size:12px;color:#333;">Vamos nos encontrar em frente à estação</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">箱の中</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#005a1e;font-weight:bold;">何</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#990000;font-weight:bold;">あります</span><span style="color:#6a0080;font-weight:bold;">か</span></b><br><span style="font-size:12px;color:#333;">O que tem dentro da caixa?</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> Substantivos de posição usam の: Xの前, Xの後ろ, Xの中, Xの上, Xの下, Xの隣, Xの近く.</div></div>
何か (なにか)	<div style="color:#222;font-size:15px;"><span style="background:#005a1e;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Pronome indefinido</span> <b>Algo</b>  <span style="color:#888;">(alguma coisa)</span><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 何 (なに) + か:</b><br><span style="font-size:14px;">何 = "que/qual"  +  か = partícula de pergunta<br>何か = pergunta indefinida → "algo"</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">何か</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">食べました</span><span style="color:#6a0080;font-weight:bold;">か</span></b><br><span style="font-size:12px;color:#333;">Comeu alguma coisa?</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">何か</span><span style="color:#b35900;font-weight:bold;">問題</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#990000;font-weight:bold;">あります</span><span style="color:#6a0080;font-weight:bold;">か</span></b><br><span style="font-size:12px;color:#333;">Tem algum problema?</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> 何か = afirmação: 'algo'. 何か〜か = pergunta: 'algo?'. 何も + negativo = 'nada'.</div></div>
何も + negativo (なにも)	<div style="color:#222;font-size:15px;"><span style="background:#005a1e;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Pronome indefinido neg.</span> <b>Nada</b> — sempre com verbo negativo<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Regra:</b><br><span style="font-size:14px;">何も + VERBO NEGATIVO = nada<br><span style="color:#005a1e;font-weight:bold;">何も</span><span style="color:#990000;font-weight:bold;">ない</span> = não tem nada / não há nada</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">何も</span><span style="color:#990000;font-weight:bold;">見ませんでした</span></b><br><span style="font-size:12px;color:#333;">Não vi nada</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">何も</span><span style="color:#990000;font-weight:bold;">食べたくない</span></b><br><span style="font-size:12px;color:#333;">Não quero comer nada</span></div><div style="background:#ffebee;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">❌ <b><span style="color:#005a1e;font-weight:bold;">何も</span><span style="color:#990000;font-weight:bold;">食べた</span></b><br><span style="font-size:12px;color:#333;">❌ 何も SEMPRE com verbo NEGATIVO!</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> 何も só funciona com verbo negativo! 何もない = não há nada. 何も食べない = não comer nada.</div></div>
